date,consumption,wind,solar,wind_solar
1/1/2006,1069.184,,,
1/2/2006,1380.521,,,
1/3/2006,1442.533,,,
1/4/2006,1457.217,,,
1/5/2006,1477.131,,,
1/6/2006,1403.427,,,
1/7/2006,1300.287,,,
1/8/2006,1207.985,,,
1/9/2006,1529.323,,,
1/10/2006,1576.911,,,
1/11/2006,1577.176,,,
1/12/2006,1553.28,,,
1/13/2006,1545.002,,,
1/14/2006,1359.945,,,
1/15/2006,1265.475,,,
1/16/2006,1563.738,,,
1/17/2006,1598.303,,,
1/18/2006,1572.984,,,
1/19/2006,1558.29,,,
1/20/2006,1540.604,,,
1/21/2006,1348.188,,,
1/22/2006,1248.111,,,
1/23/2006,1569.691,,,
1/24/2006,1603.252,,,
1/25/2006,1613.312,,,
1/26/2006,1601.673,,,
1/27/2006,1586.065,,,
1/28/2006,1373.03,,,
1/29/2006,1252.215,,,
1/30/2006,1554.722,,,
1/31/2006,1575.129,,,
2/1/2006,1582.134,,,
2/2/2006,1595.717,,,
2/3/2006,1577.786,,,
2/4/2006,1366.322,,,
2/5/2006,1258.013,,,
2/6/2006,1557.525,,,
2/7/2006,1606.667,,,
2/8/2006,1590.896,,,
2/9/2006,1599.129,,,
2/10/2006,1554.631,,,
2/11/2006,1346.104,,,
2/12/2006,1232.568,,,
2/13/2006,1521.456,,,
2/14/2006,1551.373,,,
2/15/2006,1562.656,,,
2/16/2006,1523.719,,,
2/17/2006,1495.913,,,
2/18/2006,1297.385,,,
2/19/2006,1173.05,,,
2/20/2006,1501.246,,,
2/21/2006,1544.112,,,
2/22/2006,1543.107,,,
2/23/2006,1523.491,,,
2/24/2006,1507.235,,,
2/25/2006,1309.603,,,
2/26/2006,1204.766,,,
2/27/2006,1444.899,,,
2/28/2006,1507.49,,,
3/1/2006,1531.173,,,
3/2/2006,1539.951,,,
3/3/2006,1510.884,,,
3/4/2006,1323.303,,,
3/5/2006,1220.395,,,
3/6/2006,1502.191,,,
3/7/2006,1514.012,,,
3/8/2006,1545.834,,,
3/9/2006,1498.444,,,
3/10/2006,1475.327,,,
3/11/2006,1320.368,,,
3/12/2006,1218.407,,,
3/13/2006,1494.832,,,
3/14/2006,1514.066,,,
3/15/2006,1518.04,,,
3/16/2006,1516.898,,,
3/17/2006,1495.324,,,
3/18/2006,1280.717,,,
3/19/2006,1160.078,,,
3/20/2006,1446.238,,,
3/21/2006,1470.34,,,
3/22/2006,1471.667,,,
3/23/2006,1456.016,,,
3/24/2006,1444.75,,,
3/25/2006,1231.067,,,
3/26/2006,1116.743,,,
3/27/2006,1400.982,,,
3/28/2006,1435.152,,,
3/29/2006,1438.405,,,
3/30/2006,1457.454,,,
3/31/2006,1429.066,,,
4/1/2006,1207.769,,,
4/2/2006,1110.026,,,
4/3/2006,1422.789,,,
4/4/2006,1436.699,,,
4/5/2006,1447.798,,,
4/6/2006,1432.853,,,
4/7/2006,1394.98,,,
4/8/2006,1195.959,,,
4/9/2006,1104.106,,,
4/10/2006,1408.169,,,
4/11/2006,1419.301,,,
4/12/2006,1425.712,,,
4/13/2006,1415.542,,,
4/14/2006,1118.396,,,
4/15/2006,1086.018,,,
4/16/2006,986.875,,,
4/17/2006,1009.094,,,
4/18/2006,1349.563,,,
4/19/2006,1368.456,,,
4/20/2006,1362.217,,,
4/21/2006,1333.266,,,
4/22/2006,1152.943,,,
4/23/2006,1042.414,,,
4/24/2006,1345.851,,,
4/25/2006,1359.806,,,
4/26/2006,1374.322,,,
4/27/2006,1384.681,,,
4/28/2006,1362.57,,,
4/29/2006,1167.24,,,
4/30/2006,1026.352,,,
5/1/2006,986.698,,,
5/2/2006,1329.821,,,
5/3/2006,1348.188,,,
5/4/2006,1348.343,,,
5/5/2006,1330.52,,,
5/6/2006,1115.442,,,
5/7/2006,998.308,,,
5/8/2006,1321.782,,,
