,text,class
34,[ALLUXIO-2743] Fix failing unit tests,1
2935,#2 Refactored structure of Argument,3
84,Remove some features from JwtTokenStore,4
42,Remove duplicated 1.613 section from changelog,2
2948,* webapp structure refactoring,3
54,reordered the features so its easier to read,4
48,Improved performance by clearing the map instead of recreating it.,5
2937,#26 refactoring package structure for requests and results,3
24,CORE-2985 MSSQL Snapshot performance improvements,5
77,Made it possible to select a peptide by clicking in the sequence coverage panel. Moved some spectrum options from the file menu to the annotation menu. Added an export spectrum as mgf option to the annotation menu. Fixed a bug in the maximize frame if closing feature. Fixed a bug in the PTM tab related to the hiding of the score columns.,4
89,Fail the build on duplicate resources or classes on the classpath,2
222,Adds validation of code smells in case expressions. Closes #259,2
109,BZ-1171859 - History data cleanup feature for process / human task,4
15,"new UI - template page, ISO page - fix a bug that middle menu item doesn't get updated after right panel is updated.",1
1,Add notes for coptic bug fix and scalar performance improvement,5
113,"Added tags and lines attributes to @Feature, making it possible to run a single scenario (or just some)",4
2942,#POULPE-6 1) Structure of component classes was improved 2) Merge branch,3
5,[SMALLFIX] Fix the duplicated properties as alias property keys are also added to Default Keys,2
72,stability monitors are inheritable - thus don't use Listener.Iheritance feature + always remove listener when stability monitor is registered,4
3,"add logic to handle all 2xx response code, bug fix for string response,",1
2944,"* Introducing basic Service/Data Transfer Object(DTO)/Data Access Object (DAO) shell classes for Loans.  More refactoring and unit tests are still needed, but this lays out some of the basic structure that we want to move towards.",3
52,updated to new grouping features,4
2947,"* reverted earlier design change that allow to use regular expressions to directly match source locations. Although handy, this introduces complications with function overloading that I would not want to write documentation about...",3
276,WFLY-6069 remove duplicate jipijapa module in modules/system/layers/base/org/hibernate/4.3,2
31,instance page - fix a bug that instance groups didn't show when login as a user.,1
57,Added support for an update on load feature for plugins. Thanks Raphfrk!,4
90,Config Import and Jetty stuff added to New Feature,4
6,Improved performance on management of collections,5
32,Issue #5812 read cache #openFile performance was improved by pre-check that file is already opened.,5
39,related UI change after API Bug (#7498) is fixed.,1
45,Remove duplicate scripts and move the remaining items to the systemvm project,2
2949,** Refactored workspace material structure to support materials embedded,3
14,no need now to get version from parent and best not to for feature branches,4
28,SONAR-1760: Improve performance of NoSonarFilterLoader,5
20,"NPE in the payload was causing the ssvm agent to not, fix it and also make sure that template/volume sync are robust that exceptions do not cause ssvm agent disconnect issues.",1
7,Add AppSales to featured list,4
51,performance improvement based on the input from http://www.nabble.com/Maven-job-5-times-slower-than-a-free-style-job--td14651245.html,5
107,Improve autosave and backup feature (#2194),4
16,"bug 7612: fixed a bug where if start when through all retries, we throw an exception",1
0,MAHOUT-1045: committing patch with changes to unit tests. CDbw numbers still need user testing but ClusterEvaluater results are improved. All tests run,5
35,CLOUDSTACK-7199: Fixed test_multiple_ips_per_nic.py test failures,1
11,[Automation] - Fix test failure for test_02_revert_vm_snapshots in smoke/test_vm_snapshots.py,1
85,"Capture high-level memory allocation

Thread allocated bytes on each trace, and heap histogram for global view.

Better JVM feature detection, and page to display this.",4
2943,* Improved the whole structure and prepare for first release,3
49,"improved serialize performance, asm direct mode",5
40,CLOUDSTACK-7754: Templates source_template_id is null when it is created from Snapshot with its corresponding volume removed. Fix it by searching for volumes including removed. Also bring the logic of setting source template id to create() method than execute which was wrongly put in.,1
38,"CLOUDSTACK-5557: UI > Network > Guest Network > IP Address > fix a bug that SourceNAT IP, VPC tier IP wrongly showed Configuration tab(firewall/portforwarding/loadbalancing).",1
